NOUN,QUERY,PREDICTIONS,,,,,,,,,
motorcycle,most motorcycles are [MASK].,electric,motorcycles,small,smaller,manual,hybrids,lightweight,amphibious,quieter,sold
racquet,most racquets are [MASK].,hardwood,wooden,plastic,synthetic,portable,metal,rubber,used,flat,hollow
,,,,,,,,,,,
crossbow,most crossbows are [MASK].,obsolete,wooden,used,small,smaller,portable,automatic,homemade,fixed,heavy
,,,,,,,,,,,
giraffe,most giraffes are [MASK].,polled,white,nocturnal,vegetarian,male,black,solitary,female,males,horned
,,,,,,,,,,,
harmonica,most harmonicas are [MASK].,homemade,acoustic,bowed,electric,plucked,tuned,used,strung,portable,wooden
,,,,,,,,,,,
mackerel,most mackerel are [MASK].,edible,black,white,poisonous,small,nocturnal,smaller,larger,vegetarian,yellow
,,,,,,,,,,,
garage,most garages are [MASK].,underground,small,closed,private,covered,large,open,commercial,rented,modern
,,,,,,,,,,,
pigeon,most pigeons are [MASK].,white,black,male,nocturnal,female,small,tame,common,brown,vegetarian
,,,,,,,,,,,
bungalow,most bungalows are [MASK].,older,rented,newer,old,bungalow,small,detached,residential,white,smaller
,,,,,,,,,,,
coin,most coins are [MASK].,rare,silver,gold,commemorative,black,small,copper,scarce,green,bronze
,,,,,,,,,,,
door,most doors are [MASK].,closed,locked,open,shut,wooden,unlocked,bolted,sealed,black,small
,,,,,,,,,,,
dove,most doves are [MASK].,white,black,nocturnal,solitary,blue,green,brown,female,grey,male
,,,,,,,,,,,
certificate,most certificates are [MASK].,blank,unsigned,valid,fake,identical,invalid,issued,expired,signed,rare
,,,,,,,,,,,
cranberry,most cranberries are [MASK].,edible,poisonous,white,black,yellow,green,red,sour,wild,toxic
,,,,,,,,,,,
tomahawk,most tomahawks are [MASK].,amphibious,unarmed,armed,smaller,obsolete,powered,mounted,larger,silent,lightweight
,,,,,,,,,,,
tray,most trays are [MASK].,empty,plastic,covered,flat,small,wooden,portable,metal,heavy,silver
,,,,,,,,,,,
mat,most mats are [MASK].,woven,flat,lightweight,green,portable,flexible,bamboo,white,edible,artificial
,,,,,,,,,,,
toilet,most toilets are [MASK].,public,covered,accessible,private,underground,flush,disabled,shared,closed,open
,,,,,,,,,,,
comb,most combs are [MASK].,adjustable,hollow,curved,metal,wooden,threaded,flexible,small,simple,conical
,,,,,,,,,,,
bazooka,most bazookas are [MASK].,homemade,obsolete,automatic,short,lightweight,portable,handheld,wooden,plastic,small
,,,,,,,,,,,
bracelet,most bracelets are [MASK].,plastic,metal,expensive,leather,gold,silver,thin,adjustable,white,small
,,,,,,,,,,,
stool,most stools are [MASK].,wooden,adjustable,portable,used,metal,empty,plastic,flat,white,electric
,,,,,,,,,,,
faucet,most faucets are [MASK].,electric,automatic,plastic,portable,adjustable,metal,closed,hot,electrical,covered
,,,,,,,,,,,
cake,most cakes are [MASK].,fried,white,baked,homemade,sweet,vegetarian,edible,green,chocolate,black
,,,,,,,,,,,
doorknob,most doorknobs are [MASK].,metal,plastic,locked,wooden,brass,steel,iron,old,rusty,missing
,,,,,,,,,,,
catfish,most catfish are [MASK].,nocturnal,small,edible,vegetarian,green,smaller,predatory,harmless,blind,large
,,,,,,,,,,,
hook,most hooks are [MASK].,sharp,small,hooked,edible,curved,hollow,flexible,short,flat,large
,,,,,,,,,,,
whistle,most whistles are [MASK].,homemade,blown,acoustic,hollow,loud,closed,metallic,musical,used,sharp
,,,,,,,,,,,
lantern,most lanterns are [MASK].,lit,red,electric,black,green,white,portable,yellow,closed,blue
,,,,,,,,,,,
duck,most ducks are [MASK].,white,black,common,migratory,small,nocturnal,female,brown,male,green
,,,,,,,,,,,
skillet,most skillets are [MASK].,portable,plastic,adjustable,handheld,small,available,homemade,wooden,rare,used
,,,,,,,,,,,
shelves,most shelves are [MASK].,empty,bare,open,closed,wooden,full,covered,locked,oak,old
,,,,,,,,,,,
screws,most screws are [MASK].,threaded,flexible,hollow,plastic,metal,flat,adjustable,used,common,steel
,,,,,,,,,,,
flamingo,most flamingos are [MASK].,white,black,nocturnal,edible,green,poisonous,yellow,red,brown,female
,,,,,,,,,,,
drum,most drums are [MASK].,homemade,wooden,percussion,acoustic,bowed,tuned,small,black,smaller,used
,,,,,,,,,,,
otter,most otters are [MASK].,nocturnal,small,large,amphibious,smaller,solitary,shy,vegetarian,aquatic,migratory
,,,,,,,,,,,
frog,most frogs are [MASK].,nocturnal,terrestrial,poisonous,aquatic,small,common,green,harmless,edible,brown
,,,,,,,,,,,
envelope,most envelopes are [MASK].,sealed,white,black,plastic,flat,brown,transparent,green,red,rectangular
,,,,,,,,,,,
kettle,most kettles are [MASK].,wooden,black,closed,hollow,smaller,large,empty,larger,white,used
,,,,,,,,,,,
finch,most finches are [MASK].,nocturnal,solitary,territorial,shy,terrestrial,small,migratory,silent,smaller,large
,,,,,,,,,,,
broom,most brooms are [MASK].,portable,used,homemade,wooden,hollow,curved,heavy,adjustable,small,short
,,,,,,,,,,,
canoe,most canoes are [MASK].,small,wooden,amphibious,smaller,powered,larger,homemade,motorized,used,fast
,,,,,,,,,,,
hawk,most hawks are [MASK].,nocturnal,solitary,white,territorial,black,silent,smaller,large,tame,small
,,,,,,,,,,,
whale,most whales are [MASK].,large,small,white,larger,smaller,solitary,male,gray,migratory,female
,,,,,,,,,,,
goat,most goats are [MASK].,polled,vegetarian,horned,domestic,feral,white,goat,nocturnal,pastures,goats
,,,,,,,,,,,
sparrow,most sparrows are [MASK].,nocturnal,solitary,shy,black,territorial,migratory,white,silent,terrestrial,small
,,,,,,,,,,,
slippers,most slippers are [MASK].,comfortable,uncomfortable,plastic,soft,black,white,leather,worn,used,wooden
,,,,,,,,,,,
pony,most ponies are [MASK].,white,polled,black,male,rare,small,tame,gray,brown,lame
,,,,,,,,,,,
chapel,most chapels are [MASK].,small,smaller,ruined,wooden,rectangular,baroque,covered,octagonal,underground,older
,,,,,,,,,,,
mug,most mugs are [MASK].,black,plastic,empty,white,ceramic,porcelain,blue,wooden,used,metal
,,,,,,,,,,,
cart,most carts are [MASK].,empty,used,wooden,small,covered,heavy,old,smaller,motorized,portable
,,,,,,,,,,,
cod,most cod are [MASK].,edible,white,vegetarian,black,caught,smoked,fried,small,yellow,green
,,,,,,,,,,,
trailer,most trailers are [MASK].,trailers,portable,amphibious,mobile,used,electric,white,trucks,tractors,large
,,,,,,,,,,,
cork,most corks are [MASK].,white,edible,dry,cork,black,solid,plastic,hollow,soft,strong
,,,,,,,,,,,
moose,most mooses are [MASK].,nocturnal,white,smaller,large,gray,female,small,black,larger,polled
,,,,,,,,,,,
helmet,most helmets are [MASK].,plastic,black,optional,white,leather,metal,homemade,lightweight,adjustable,red
,,,,,,,,,,,
level,most levels are [MASK].,free,optional,limited,easy,restricted,available,open,advanced,higher,identical
,,,,,,,,,,,
bike,most bikes are [MASK].,electric,small,used,homemade,green,motorized,black,old,rented,smaller
,,,,,,,,,,,
doll,most dolls are [MASK].,plastic,white,wooden,black,small,stuffed,homemade,metal,female,blue
,,,,,,,,,,,
tripod,most tripods are [MASK].,small,hollow,flexible,short,mobile,portable,smaller,rigid,lightweight,wooden
,,,,,,,,,,,
fan,most fans are [MASK].,catholic,female,women,muslim,white,religious,loyal,black,male,disappointed
